20 20 5 true false
GOJI 4 1 99 2 false
DANDELION 2 3 0 2 false
GUARANA 14 12 0 2 false
GUARANA 12 3 0 2 false
DANDELION 19 5 0 2 false
GUARANA 14 0 0 2 false
GRASS 2 11 0 2 false
DANDELION 19 1 0 2 false
DANDELION 19 12 0 2 false
GRASS 6 10 0 2 false
DANDELION 13 8 0 2 false
DANDELION 0 4 0 2 false
DANDELION 1 5 0 2 false
DANDELION 14 7 0 2 false
DANDELION 18 7 0 2 false
GUARANA 17 19 0 2 false
DANDELION 11 7 0 3 false
GUARANA 3 2 0 3 false
GOJI 7 3 99 3 false
DANDELION 18 2 0 3 false
GOJI 5 13 99 3 false
GOJI 13 6 99 3 false
DANDELION 13 10 0 3 false
GUARANA 10 19 0 3 false
DANDELION 11 8 0 3 false
GUARANA 16 18 0 3 false
GRASS 16 9 0 3 false
DANDELION 2 4 0 3 false
GUARANA 15 12 0 3 false
GUARANA 11 3 0 3 false
DANDELION 18 5 0 3 false
DANDELION 18 1 0 3 false
DANDELION 18 12 0 3 false
DANDELION 0 5 0 3 false
DANDELION 2 5 0 3 false
DANDELION 14 6 0 3 false
DANDELION 15 7 0 3 false
DANDELION 17 7 0 3 false
GUARANA 7 6 0 4 false
DANDELION 12 6 0 4 false
GRASS 1 13 0 4 false
DANDELION 8 8 0 4 false
GRASS 0 8 0 4 false
GRASS 4 12 0 4 false
DANDELION 14 10 0 4 false
PINEBROSCHT 15 3 10 4 false
GRASS 19 8 0 4 false
GUARANA 14 2 0 4 false
GUARANA 16 13 0 4 false
GUARANA 13 2 0 4 false
GOJI 9 2 99 4 false
DANDELION 7 10 0 4 false
DANDELION 8 9 0 4 false
GUARANA 6 7 0 4 false
DANDELION 11 9 0 4 false
DANDELION 3 3 0 4 false
GUARANA 15 0 0 4 false
DANDELION 18 3 0 4 false
GUARANA 4 7 0 4 false
GUARANA 11 19 0 4 false
GRASS 16 8 0 4 false
DANDELION 18 11 0 4 false
DANDELION 16 7 0 4 false
DANDELION 17 8 0 4 false
GRASS 1 9 0 5 false
GRASS 3 13 0 5 false
GUARANA 16 0 0 5 false
DANDELION 14 14 0 5 false
GUARANA 15 19 0 5 false
DANDELION 12 10 0 5 false
DANDELION 8 7 0 5 false
DANDELION 2 2 0 5 false
DANDELION 1 6 0 5 false
GUARANA 18 19 0 5 false
DANDELION 10 7 0 5 false
GRASS 16 10 0 5 false
DANDELION 3 4 0 5 false
DANDELION 17 1 0 5 false
DANDELION 14 5 0 5 false
DANDELION 12 5 0 5 false
GRASS 0 13 0 5 false
GRASS 19 9 0 5 false
GUARANA 13 3 0 5 false
GUARANA 6 6 0 5 false
GUARANA 15 1 0 5 false
DANDELION 18 4 0 5 false
DANDELION 17 11 0 5 false
DANDELION 18 10 0 5 false
DANDELION 17 9 0 5 false
