20 20 11 false false
GOJI 9 3 99 0 false
GOJI 8 0 99 0 false
DANDELION 19 13 0 0 false
DANDELION 13 9 0 0 false
GOJI 6 2 99 0 false
GUARANA 17 0 0 0 false
GOJI 15 6 99 0 false
GOJI 8 15 99 0 false
DANDELION 7 9 0 1 false
DANDELION 1 4 0 1 false
DANDELION 14 8 0 1 false
DANDELION 13 14 0 1 false
GUARANA 6 8 0 1 false
GRASS 15 9 0 2 false
DANDELION 7 7 0 2 false
GOJI 4 1 99 2 false
DANDELION 2 3 0 2 false
GUARANA 14 12 0 2 false
GUARANA 12 3 0 2 false
GUARANA 14 0 0 2 false
GRASS 2 11 0 2 false
DANDELION 13 8 0 2 false
DANDELION 0 4 0 2 false
DANDELION 1 5 0 2 false
DANDELION 14 7 0 2 false
GUARANA 3 2 0 3 false
GOJI 7 3 99 3 false
DANDELION 18 2 0 3 false
GOJI 5 13 99 3 false
GOJI 13 6 99 3 false
DANDELION 11 8 0 3 false
GRASS 16 9 0 3 false
DANDELION 2 4 0 3 false
GUARANA 15 12 0 3 false
GUARANA 11 3 0 3 false
DANDELION 18 1 0 3 false
DANDELION 0 5 0 3 false
DANDELION 2 5 0 3 false
DANDELION 14 6 0 3 false
DANDELION 15 7 0 3 false
DANDELION 17 7 0 3 false
GUARANA 7 6 0 4 false
GRASS 1 13 0 4 false
DANDELION 8 8 0 4 false
GRASS 4 12 0 4 false
DANDELION 14 10 0 4 false
GRASS 19 8 0 4 false
GUARANA 14 2 0 4 false
GUARANA 16 13 0 4 false
GUARANA 13 2 0 4 false
GOJI 9 2 99 4 false
DANDELION 8 9 0 4 false
GUARANA 6 7 0 4 false
DANDELION 3 3 0 4 false
GUARANA 15 0 0 4 false
GRASS 16 8 0 4 false
DANDELION 16 7 0 4 false
DANDELION 17 8 0 4 false
GRASS 3 13 0 5 false
GUARANA 16 0 0 5 false
DANDELION 14 14 0 5 false
GUARANA 15 19 0 5 false
DANDELION 8 7 0 5 false
DANDELION 2 2 0 5 false
DANDELION 1 6 0 5 false
GRASS 16 10 0 5 false
DANDELION 3 4 0 5 false
DANDELION 17 1 0 5 false
GRASS 0 13 0 5 false
GRASS 19 9 0 5 false
GUARANA 13 3 0 5 false
GUARANA 6 6 0 5 false
GUARANA 15 1 0 5 false
DANDELION 17 11 0 5 false
DANDELION 18 10 0 5 false
DANDELION 17 9 0 5 false
GOJI 3 0 99 6 false
GRASS 3 11 0 6 false
GRASS 1 12 0 6 false
GUARANA 17 12 0 6 false
GUARANA 13 11 0 6 false
GOJI 8 1 99 6 false
DANDELION 18 13 0 6 false
GRASS 2 10 0 6 false
DANDELION 11 6 0 6 false
DANDELION 10 8 0 6 false
DANDELION 17 5 0 6 false
DANDELION 2 6 0 6 false
GUARANA 8 6 0 6 false
DANDELION 14 15 0 6 false
DANDELION 9 7 0 6 false
DANDELION 1 2 0 6 false
DANDELION 2 1 0 6 false
GRASS 16 11 0 6 false
DANDELION 16 1 0 6 false
DANDELION 14 4 0 6 false
GUARANA 5 6 0 6 false
DANDELION 17 10 0 6 false
DANDELION 18 9 0 6 false
DANDELION 19 10 0 6 false
GUARANA 6 5 0 7 false
GRASS 1 9 0 7 false
GOJI 12 0 99 7 false
DANDELION 13 10 0 7 false
DANDELION 1 3 0 7 false
DANDELION 12 14 0 7 false
DANDELION 13 13 0 7 false
GUARANA 13 12 0 7 false
GUARANA 4 2 0 7 false
DANDELION 18 0 0 7 false
DANDELION 3 5 0 7 false
GRASS 5 12 0 7 false
GUARANA 15 2 0 7 false
GUARANA 15 13 0 7 false
GUARANA 5 7 0 7 false
DANDELION 18 8 0 7 false
GRASS 3 14 0 7 false
GUARANA 15 18 0 7 false
DANDELION 17 2 0 7 false
GRASS 0 14 0 7 false
DANDELION 17 4 0 7 false
DANDELION 18 12 0 7 false
DANDELION 10 6 0 7 false
DANDELION 10 7 0 7 false
DANDELION 11 11 0 7 false
DANDELION 9 6 0 7 false
DANDELION 0 2 0 7 false
DANDELION 1 1 0 7 false
DANDELION 4 5 0 7 false
DANDELION 16 2 0 7 false
DANDELION 13 4 0 7 false
GUARANA 5 5 0 7 false
GUARANA 12 1 0 8 false
GOJI 5 3 99 8 false
DANDELION 13 15 0 8 false
GUARANA 12 4 0 8 false
GUARANA 16 17 0 8 false
DANDELION 18 7 0 8 false
DANDELION 9 8 0 8 false
DANDELION 9 9 0 8 false
GRASS 4 13 0 8 false
DANDELION 15 14 0 8 false
GUARANA 18 18 0 8 false
GUARANA 14 3 0 8 false
GRASS 4 11 0 8 false
GUARANA 17 13 0 8 false
DANDELION 18 14 0 8 false
GRASS 1 10 0 8 false
DANDELION 11 5 0 8 false
DANDELION 15 15 0 8 false
DANDELION 2 0 0 8 false
DANDELION 15 4 0 8 false
GRASS 6 12 0 8 false
DANDELION 3 6 0 8 false
GUARANA 15 3 0 8 false
GUARANA 15 17 0 8 false
DANDELION 11 12 0 8 false
DANDELION 10 11 0 8 false
DANDELION 0 1 0 8 false
DANDELION 1 0 0 8 false
DANDELION 16 3 0 8 false
DANDELION 18 6 0 9 false
GUARANA 16 14 0 9 false
DANDELION 4 4 0 9 false
GRASS 0 12 0 9 false
DANDELION 11 7 0 9 false
DANDELION 18 5 0 9 false
GRASS 15 11 0 9 false
GUARANA 12 12 0 9 false
GRASS 5 11 0 9 false
GRASS 4 14 0 9 false
GUARANA 14 18 0 9 false
DANDELION 1 8 0 9 false
DANDELION 17 3 0 9 false
GRASS 0 15 0 9 false
DANDELION 16 4 0 9 false
DANDELION 10 5 0 9 false
DANDELION 12 11 0 9 false
DANDELION 4 6 0 9 false
GUARANA 11 1 0 9 false
DANDELION 12 15 0 9 false
GUARANA 16 16 0 9 false
DANDELION 9 10 0 9 false
GUARANA 17 14 0 9 false
GRASS 1 11 0 9 false
DANDELION 11 4 0 9 false
DANDELION 10 12 0 9 false
DANDELION 0 0 0 9 false
GRASS 2 14 0 10 false
GRASS 0 8 0 10 false
DANDELION 19 5 0 10 false
DANDELION 7 10 0 10 false
DANDELION 8 10 0 10 false
GUARANA 14 19 0 10 false
DANDELION 18 11 0 10 false
DANDELION 10 9 0 10 false
DANDELION 14 16 0 10 false
DANDELION 12 10 0 10 false
DANDELION 11 14 0 10 false
GUARANA 4 7 0 10 false
GRASS 3 15 0 10 false
GUARANA 17 17 0 10 false
GUARANA 19 18 0 10 false
DANDELION 16 15 0 10 false
DANDELION 15 5 0 10 false
DANDELION 11 13 0 10 false
DANDELION 9 11 0 10 false
GRASS 0 11 0 10 false
DANDELION 2 8 0 10 false
DANDELION 10 4 0 10 false
DANDELION 11 15 0 10 false
GUARANA 15 16 0 10 false
GUARANA 17 15 0 10 false
DANDELION 10 13 0 10 false
GRASS 0 10 0 11 false
DANDELION 0 7 0 11 false
DANDELION 19 3 0 11 false
DANDELION 12 8 0 11 false
DANDELION 14 5 0 11 false
GOJI 9 1 99 11 false
DANDELION 1 7 0 11 false
GRASS 3 10 0 11 false
GRASS 2 9 0 11 false
DANDELION 19 11 0 11 false
DANDELION 12 5 0 11 false
DANDELION 10 10 0 11 false
GUARANA 13 18 0 11 false
GUARANA 10 1 0 11 false
DANDELION 12 16 0 11 false
DANDELION 9 12 0 11 false
DANDELION 7 11 0 11 false
DANDELION 6 10 0 11 false
DANDELION 12 9 0 11 false
DANDELION 10 14 0 11 false
GRASS 4 15 0 11 false
GUARANA 17 18 0 11 false
DANDELION 10 3 0 11 false
DANDELION 11 16 0 11 false
